recharge_id,customer_id,recharge_date,recharge_amount,plan_type,plan_name,validity_days,has_discount,payment_method
163,975,2024-03-31,239,Quarterly,₹239 Plan,56,False,UPI
164,2618,2024-03-13,999,Quarterly,₹719 Plan,28,False,Card
165,2454,2024-03-22,239,Monthly,₹719 Plan,365,True,Wallet
166,4298,2024-02-08,2999,Annual,₹999 Plan,56,True,UPI
167,3544,2024-01-12,719,Quarterly,₹2999 Plan,28,True,Wallet
168,1469,2024-03-20,719,Monthly,₹239 Plan,365,False,UPI
169,1965,2024-03-10,239,Monthly,₹2999 Plan,365,False,Wallet
170,3663,2024-03-28,299,Quarterly,₹2999 Plan,84,False,Netbanking
171,1230,2024-03-26,2999,Annual,₹299 Plan,56,False,Card
172,3117,2024-02-24,2999,Quarterly,₹239 Plan,84,True,UPI
173,4506,2024-01-25,299,Quarterly,₹719 Plan,84,False,Netbanking
174,3281,2024-02-04,999,Annual,₹299 Plan,28,False,Netbanking
175,1808,2024-03-29,999,Quarterly,₹239 Plan,28,True,Card
176,2513,2024-02-11,999,Monthly,₹239 Plan,56,False,Netbanking
177,523,2024-01-20,299,Quarterly,₹719 Plan,365,False,Wallet
178,974,2024-02-28,999,Monthly,₹719 Plan,28,False,Wallet
179,3920,2024-02-17,999,Quarterly,₹2999 Plan,56,True,Wallet
180,2955,2024-01-03,239,Quarterly,₹999 Plan,56,False,Wallet
181,2274,2024-03-09,299,Annual,₹239 Plan,84,False,Card
182,4197,2024-01-16,999,Quarterly,₹299 Plan,56,False,Card
183,4512,2024-02-28,2999,Annual,₹239 Plan,28,False,Wallet
184,1367,2024-01-21,999,Annual,₹299 Plan,365,False,Netbanking
185,2172,2024-01-15,239,Monthly,₹299 Plan,365,True,Netbanking
186,3473,2024-03-24,299,Quarterly,₹719 Plan,56,False,Netbanking
187,2160,2024-02-07,999,Annual,₹719 Plan,28,False,Netbanking
188,268,2024-02-15,239,Monthly,₹719 Plan,56,False,Wallet
189,2590,2024-02-11,999,Annual,₹2999 Plan,56,False,Wallet
190,937,2024-02-12,719,Monthly,₹239 Plan,56,False,Wallet
191,3486,2024-03-24,999,Annual,₹999 Plan,56,False,Card
192,4508,2024-02-06,999,Annual,₹299 Plan,84,False,UPI
193,3629,2024-02-29,719,Annual,₹239 Plan,56,False,Netbanking
194,3377,2024-03-03,299,Annual,₹719 Plan,365,False,Wallet
195,732,2024-02-24,999,Quarterly,₹2999 Plan,28,True,Netbanking
196,4790,2024-02-28,299,Quarterly,₹2999 Plan,84,True,UPI
197,2658,2024-02-07,239,Monthly,₹239 Plan,28,False,UPI
198,1984,2024-03-03,2999,Quarterly,₹719 Plan,84,False,UPI
199,4115,2024-03-31,299,Quarterly,₹719 Plan,365,True,UPI
200,1188,2024-01-16,999,Monthly,₹239 Plan,56,True,UPI
201,1043,2024-02-17,239,Annual,₹2999 Plan,56,True,Wallet
202,1942,2024-01-04,239,Quarterly,₹2999 Plan,56,False,Card
203,2222,2024-02-27,2999,Monthly,₹999 Plan,365,True,Netbanking
204,3583,2024-03-19,719,Quarterly,₹239 Plan,365,False,UPI
205,32,2024-01-27,239,Monthly,₹299 Plan,84,False,Card
206,477,2024-01-27,999,Quarterly,₹299 Plan,56,False,Netbanking
207,3253,2024-02-22,2999,Monthly,₹239 Plan,28,True,Card
208,3931,2024-01-26,999,Quarterly,₹2999 Plan,84,False,UPI
209,577,2024-03-21,719,Monthly,₹299 Plan,28,True,UPI
210,803,2024-01-29,999,Monthly,₹999 Plan,28,False,Card
211,1787,2024-02-08,719,Annual,₹2999 Plan,365,False,Wallet
212,4020,2024-01-26,2999,Annual,₹299 Plan,84,False,UPI
213,528,2024-03-18,999,Monthly,₹999 Plan,56,False,Wallet
214,2554,2024-01-11,299,Monthly,₹299 Plan,28,False,Card
215,361,2024-03-04,999,Monthly,₹2999 Plan,56,False,UPI
216,369,2024-01-08,299,Quarterly,₹999 Plan,365,True,Netbanking
217,4199,2024-01-13,299,Monthly,₹299 Plan,28,False,Wallet
218,3368,2024-02-19,999,Annual,₹719 Plan,84,False,Card
219,933,2024-01-01,299,Quarterly,₹719 Plan,84,False,UPI
220,2528,2024-03-05,239,Quarterly,₹2999 Plan,365,False,UPI
221,459,2024-02-12,239,Monthly,₹2999 Plan,365,True,Wallet
222,340,2024-01-08,999,Quarterly,₹999 Plan,84,True,Netbanking
223,2658,2024-02-02,239,Monthly,₹239 Plan,56,True,Card
224,788,2024-02-25,299,Annual,₹299 Plan,28,False,Wallet
225,3227,2024-01-19,2999,Annual,₹239 Plan,56,False,Card
226,1227,2024-01-21,999,Annual,₹719 Plan,84,False,Wallet
227,1117,2024-01-22,719,Monthly,₹299 Plan,365,False,UPI
228,4328,2024-01-22,239,Quarterly,₹719 Plan,365,False,Netbanking
229,1667,2024-02-20,239,Monthly,₹299 Plan,56,False,Netbanking
230,454,2024-02-18,299,Monthly,₹999 Plan,84,True,Card
231,1338,2024-01-08,239,Monthly,₹239 Plan,28,False,Wallet
232,33,2024-03-08,999,Monthly,₹2999 Plan,84,False,Wallet
233,1105,2024-01-07,2999,Quarterly,₹999 Plan,365,False,UPI
234,2940,2024-03-20,239,Monthly,₹299 Plan,56,False,Wallet
235,4216,2024-03-01,999,Quarterly,₹719 Plan,365,True,Wallet
236,659,2024-03-14,2999,Quarterly,₹239 Plan,56,True,Wallet
237,3714,2024-03-26,239,Annual,₹239 Plan,84,False,Netbanking
238,2503,2024-01-14,719,Annual,₹719 Plan,56,False,UPI
239,4014,2024-03-10,999,Annual,₹999 Plan,365,False,Wallet
240,1227,2024-03-15,299,Quarterly,₹999 Plan,365,True,UPI
241,1089,2024-02-25,299,Monthly,₹2999 Plan,84,False,Netbanking
242,7,2024-02-07,2999,Annual,₹239 Plan,56,False,Card
243,220,2024-01-31,999,Annual,₹2999 Plan,84,False,UPI
244,4351,2024-01-22,2999,Monthly,₹299 Plan,28,False,Netbanking
245,2337,2024-02-19,999,Annual,₹719 Plan,56,False,Card
246,2511,2024-03-22,239,Monthly,₹2999 Plan,56,False,UPI
247,2825,2024-01-01,239,Monthly,₹2999 Plan,28,False,Wallet
248,2013,2024-02-11,999,Quarterly,₹2999 Plan,28,False,UPI
249,4686,2024-02-15,2999,Annual,₹299 Plan,84,False,Wallet
250,3162,2024-03-05,999,Monthly,₹299 Plan,56,True,Wallet
251,702,2024-01-27,239,Annual,₹299 Plan,28,False,Card
252,4664,2024-03-18,299,Monthly,₹2999 Plan,56,False,Card
253,1639,2024-02-18,239,Quarterly,₹999 Plan,28,False,Wallet
254,1299,2024-02-28,719,Quarterly,₹719 Plan,84,False,Card
255,1187,2024-01-02,2999,Monthly,₹719 Plan,365,False,Card
256,3101,2024-01-19,2999,Monthly,₹299 Plan,84,True,Netbanking
257,1058,2024-03-13,2999,Annual,₹239 Plan,56,False,Card
258,2374,2024-01-11,719,Annual,₹239 Plan,28,False,Netbanking
259,329,2024-02-01,2999,Monthly,₹2999 Plan,365,True,Netbanking
260,2234,2024-02-19,719,Monthly,₹2999 Plan,28,False,Card
261,3064,2024-03-07,299,Annual,₹719 Plan,84,False,Wallet
262,1009,2024-01-29,239,Quarterly,₹719 Plan,28,False,Card
263,2760,2024-02-25,239,Annual,₹719 Plan,365,False,Card
264,3298,2024-01-19,239,Annual,₹239 Plan,28,False,Card
265,774,2024-02-28,719,Annual,₹2999 Plan,28,True,Wallet
266,2922,2024-01-31,239,Monthly,₹719 Plan,56,False,UPI
267,309,2024-01-01,299,Monthly,₹239 Plan,28,True,UPI
268,1905,2024-02-20,999,Monthly,₹719 Plan,84,False,Netbanking
269,2674,2024-02-23,299,Annual,₹719 Plan,365,False,Card
270,769,2024-03-27,239,Quarterly,₹719 Plan,365,False,UPI
271,1983,2024-02-19,2999,Quarterly,₹719 Plan,56,True,Netbanking
272,952,2024-03-08,999,Annual,₹999 Plan,365,False,UPI
273,4849,2024-03-11,999,Annual,₹719 Plan,28,False,UPI
274,2822,2024-01-24,999,Annual,₹719 Plan,28,False,Wallet
275,3062,2024-01-24,2999,Monthly,₹719 Plan,28,False,Card
276,3747,2024-01-11,999,Monthly,₹999 Plan,365,False,Netbanking
277,4056,2024-01-31,719,Annual,₹999 Plan,56,True,Card
278,1812,2024-02-15,2999,Annual,₹999 Plan,365,False,UPI
279,3161,2024-03-10,719,Annual,₹299 Plan,365,False,UPI
280,4539,2024-02-23,2999,Monthly,₹239 Plan,28,False,Card
281,654,2024-01-13,239,Monthly,₹2999 Plan,28,False,Wallet
282,2635,2024-03-05,999,Annual,₹2999 Plan,84,False,UPI
283,2436,2024-03-21,2999,Quarterly,₹999 Plan,56,False,Wallet
284,1170,2024-01-26,719,Monthly,₹719 Plan,84,False,UPI
285,914,2024-01-30,299,Annual,₹999 Plan,84,False,Card
286,2125,2024-02-29,999,Quarterly,₹719 Plan,56,False,Wallet
287,2822,2024-01-20,719,Quarterly,₹999 Plan,365,True,Card
288,4245,2024-01-14,299,Monthly,₹719 Plan,365,False,Card
289,1474,2024-03-27,2999,Quarterly,₹999 Plan,28,True,Card
290,3349,2024-03-01,999,Annual,₹2999 Plan,56,False,Wallet
291,4348,2024-02-06,299,Monthly,₹239 Plan,84,False,Wallet
292,3858,2024-01-25,719,Annual,₹719 Plan,365,True,UPI
293,2753,2024-03-14,299,Annual,₹239 Plan,56,False,Card
294,4439,2024-02-12,2999,Annual,₹999 Plan,56,False,Netbanking
295,1615,2024-03-17,2999,Monthly,₹299 Plan,84,False,Netbanking
296,622,2024-03-10,2999,Monthly,₹239 Plan,84,True,Netbanking
297,4099,2024-03-23,2999,Quarterly,₹2999 Plan,28,True,Card
298,2603,2024-02-14,2999,Quarterly,₹2999 Plan,28,False,UPI
299,186,2024-03-18,239,Monthly,₹719 Plan,56,False,Card
300,3889,2024-02-06,299,Monthly,₹299 Plan,365,False,UPI
301,1266,2024-02-13,719,Monthly,₹2999 Plan,365,False,Wallet
302,1991,2024-01-19,999,Quarterly,₹719 Plan,56,False,Card
303,2765,2024-03-27,299,Annual,₹719 Plan,28,False,UPI
304,4240,2024-03-26,239,Monthly,₹239 Plan,84,True,Card
305,1508,2024-01-26,299,Monthly,₹299 Plan,56,False,UPI
306,3518,2024-03-12,999,Quarterly,₹299 Plan,84,False,Netbanking
307,306,2024-02-19,999,Quarterly,₹719 Plan,28,True,Wallet
308,230,2024-01-02,299,Monthly,₹719 Plan,56,False,Wallet
309,2618,2024-01-10,719,Monthly,₹999 Plan,365,False,Netbanking
310,3803,2024-02-03,719,Quarterly,₹299 Plan,365,False,Wallet
311,3133,2024-03-10,999,Annual,₹719 Plan,56,False,Netbanking
312,3848,2024-01-29,999,Annual,₹719 Plan,365,False,UPI
313,2832,2024-02-16,299,Annual,₹719 Plan,84,True,Wallet
314,4960,2024-03-31,2999,Monthly,₹299 Plan,84,False,UPI
315,1990,2024-01-18,999,Monthly,₹999 Plan,365,True,Wallet
316,4154,2024-03-10,299,Annual,₹999 Plan,56,False,UPI
317,4435,2024-03-21,239,Monthly,₹999 Plan,28,False,Netbanking
318,2817,2024-03-18,239,Monthly,₹719 Plan,28,False,Card
319,4384,2024-01-24,719,Monthly,₹239 Plan,84,False,Wallet
320,2349,2024-03-22,719,Monthly,₹2999 Plan,28,False,Wallet
321,1586,2024-01-20,999,Annual,₹2999 Plan,365,False,Netbanking
322,1677,2024-03-15,299,Quarterly,₹239 Plan,28,False,Card
323,2456,2024-02-01,239,Quarterly,₹299 Plan,28,False,Netbanking
324,3188,2024-01-26,299,Quarterly,₹299 Plan,28,False,Wallet
325,3614,2024-02-12,239,Monthly,₹2999 Plan,84,True,Netbanking
326,4670,2024-03-04,999,Monthly,₹239 Plan,365,False,Netbanking
327,3048,2024-01-03,299,Quarterly,₹999 Plan,365,False,Card
328,1847,2024-01-28,719,Quarterly,₹299 Plan,84,False,Card
329,21,2024-01-07,299,Quarterly,₹999 Plan,84,False,Card
330,4524,2024-02-09,719,Annual,₹719 Plan,56,False,Netbanking
331,974,2024-03-18,239,Monthly,₹2999 Plan,365,True,Netbanking
332,4119,2024-03-08,299,Quarterly,₹999 Plan,84,False,Wallet
333,3024,2024-01-31,719,Quarterly,₹999 Plan,84,False,UPI
334,398,2024-01-28,299,Monthly,₹719 Plan,84,False,Netbanking
335,2232,2024-02-06,999,Quarterly,₹999 Plan,28,False,UPI
336,503,2024-03-15,719,Quarterly,₹999 Plan,28,False,UPI
337,2849,2024-03-22,2999,Annual,₹299 Plan,28,False,Card
338,1105,2024-01-07,239,Quarterly,₹239 Plan,28,False,Netbanking
339,366,2024-03-17,299,Annual,₹999 Plan,365,False,UPI
340,1723,2024-02-17,299,Annual,₹239 Plan,365,True,UPI
341,4572,2024-02-10,239,Annual,₹999 Plan,28,False,Card
342,1989,2024-02-12,719,Monthly,₹999 Plan,56,False,Card
343,136,2024-03-11,239,Annual,₹299 Plan,365,False,UPI
344,1607,2024-02-28,299,Quarterly,₹2999 Plan,365,True,Wallet
345,1059,2024-02-06,2999,Monthly,₹719 Plan,56,False,Card
346,1938,2024-01-04,299,Monthly,₹999 Plan,56,False,UPI
347,122,2024-02-14,999,Monthly,₹999 Plan,28,True,UPI
348,638,2024-02-04,719,Annual,₹299 Plan,28,False,UPI
349,4453,2024-01-20,2999,Monthly,₹2999 Plan,84,False,Netbanking
350,695,2024-01-31,239,Annual,₹719 Plan,28,False,Netbanking
351,1183,2024-01-01,719,Quarterly,₹299 Plan,56,False,Wallet
352,4006,2024-03-29,299,Quarterly,₹719 Plan,56,False,Wallet
353,2350,2024-02-15,2999,Annual,₹299 Plan,56,False,UPI
354,4150,2024-03-11,239,Monthly,₹299 Plan,56,True,UPI
355,4301,2024-02-25,239,Annual,₹999 Plan,28,False,Wallet
356,866,2024-02-22,299,Quarterly,₹999 Plan,28,False,UPI
357,4553,2024-03-19,239,Quarterly,₹239 Plan,84,False,Wallet
358,4578,2024-02-15,999,Quarterly,₹239 Plan,28,True,Netbanking
359,4641,2024-01-09,999,Monthly,₹2999 Plan,365,False,Wallet
360,3274,2024-03-25,2999,Quarterly,₹239 Plan,56,True,UPI
361,2526,2024-02-24,719,Monthly,₹719 Plan,84,False,Netbanking
362,591,2024-03-11,999,Monthly,₹239 Plan,56,False,Wallet
363,2439,2024-03-09,719,Quarterly,₹2999 Plan,84,True,Card
364,1769,2024-02-09,2999,Monthly,₹239 Plan,56,False,Card
365,316,2024-02-18,239,Monthly,₹999 Plan,365,False,Wallet
366,1724,2024-01-27,999,Annual,₹299 Plan,56,True,Card
367,3946,2024-01-02,999,Quarterly,₹239 Plan,28,False,Wallet
368,3258,2024-01-15,299,Quarterly,₹999 Plan,365,False,Netbanking
369,3509,2024-02-28,2999,Quarterly,₹299 Plan,365,False,UPI
370,723,2024-01-04,719,Monthly,₹239 Plan,84,False,UPI
371,120,2024-03-03,719,Quarterly,₹2999 Plan,365,False,Netbanking
372,4711,2024-03-13,999,Annual,₹719 Plan,56,False,Card
373,2322,2024-03-25,299,Quarterly,₹719 Plan,365,False,Wallet
374,1990,2024-01-19,299,Quarterly,₹999 Plan,84,True,UPI
375,3818,2024-01-31,999,Monthly,₹299 Plan,28,True,Netbanking
376,660,2024-03-26,299,Annual,₹239 Plan,365,False,Wallet
377,1785,2024-02-23,719,Annual,₹239 Plan,84,False,UPI
378,2207,2024-01-12,239,Annual,₹999 Plan,56,False,Card
379,1142,2024-02-23,2999,Quarterly,₹239 Plan,28,False,Netbanking
380,145,2024-02-04,239,Annual,₹719 Plan,56,False,Wallet
381,2336,2024-03-18,999,Annual,₹999 Plan,28,True,UPI
382,4799,2024-02-22,239,Monthly,₹239 Plan,56,False,Wallet
383,1274,2024-03-04,2999,Monthly,₹299 Plan,365,False,UPI
384,1848,2024-01-16,719,Monthly,₹239 Plan,365,False,Card
385,1777,2024-03-01,2999,Monthly,₹2999 Plan,56,False,UPI
386,3929,2024-02-01,299,Annual,₹999 Plan,84,False,Wallet
387,4174,2024-01-08,999,Quarterly,₹239 Plan,84,True,Wallet
388,1349,2024-02-05,2999,Quarterly,₹999 Plan,28,True,Wallet
389,3903,2024-01-09,299,Monthly,₹999 Plan,84,False,Card
390,3015,2024-02-24,299,Annual,₹299 Plan,84,False,Wallet
